                    ************************************************************************************************
                    *  Z= 43 A= 99: Positive-Parity Spin-dependent Level Density [MeV-1] for Tc 99 and ldmodel= 5  *
   4.25  0.532  2.77E+03 3.24E+03 3.20E+04 1.44E+02 2.89E+02 4.08E+02 4.75E+02 4.71E+02 4.05E+02 3.35E+02 2.78E+02 1.76E+02 1.15E+02 7.08E+01 3.93E+01 1.58E+01 8.97E+00 5.82E+00 1.46E+00 2.46E-01 2.42E-01 8.37E-04 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.50  0.547  3.91E+03 4.58E+03 4.57E+04 2.02E+02 4.06E+02 5.70E+02 6.61E+02 6.62E+02 5.74E+02 4.76E+02 3.86E+02 2.61E+02 1.70E+02 1.04E+02 5.93E+01 2.77E+01 1.30E+01 7.32E+00 2.92E+00 8.50E-01 2.42E-01 1.22E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.75  0.562  5.53E+03 6.48E+03 6.54E+04 2.84E+02 5.70E+02 7.96E+02 9.19E+02 9.30E+02 8.13E+02 6.78E+02 5.36E+02 3.86E+02 2.50E+02 1.53E+02 8.95E+01 4.85E+01 1.90E+01 9.22E+00 5.82E+00 1.46E+00 2.45E-01 2.42E-01 8.37E-04 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   5.00  0.577  7.77E+03 8.94E+03 9.13E+04 3.77E+02 7.56E+02 1.08E+03 1.24E+03 1.25E+03 1.13E+03 9.47E+02 7.58E+02 5.46E+02 3.60E+02 2.26E+02 1.31E+02 6.91E+01 3.16E+01 1.32E+01 7.32E+00 2.92E+00 7.29E-01 2.42E-01 1.22E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   5.50  0.605  1.62E+04 1.69E+04 1.76E+05 6.99E+02 1.36E+03 1.98E+03 2.27E+03 2.31E+03 2.11E+03 1.81E+03 1.48E+03 1.08E+03 7.35E+02 4.68E+02 2.79E+02 1.47E+02 7.72E+01 3.23E+01 1.32E+01 7.22E+00 2.61E+00 4.86E-01 2.42E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   6.00  0.632  3.21E+04 3.17E+04 3.38E+05 1.31E+03 2.52E+03 3.61E+03 4.18E+03 4.30E+03 3.91E+03 3.40E+03 2.82E+03 2.10E+03 1.47E+03 9.47E+02 5.79E+02 3.27E+02 1.69E+02 8.00E+01 3.23E+01 1.30E+01 6.68E+00 2.07E+00 3.64E-01 1.22E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   6.50  0.658  6.11E+04 5.80E+04 6.32E+05 2.30E+03 4.45E+03 6.29E+03 7.37E+03 7.70E+03 7.12E+03 6.26E+03 5.30E+03 3.99E+03 2.82E+03 1.90E+03 1.18E+03 6.90E+02 3.66E+02 1.73E+02 7.97E+01 3.16E+01 1.12E+01 5.06E+00 1.46E+00 2.42E-01 1.22E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   7.00  0.682  1.13E+05 1.04E+05 1.16E+06 3.98E+03 7.66E+03 1.09E+04 1.28E+04 1.34E+04 1.26E+04 1.12E+04 9.68E+03 7.45E+03 5.34E+03 3.65E+03 2.35E+03 1.38E+03 7.62E+02 3.80E+02 1.73E+02 7.62E+01 2.75E+01 1.06E+01 3.76E+00 8.50E-01 2.42E-01 1.22E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   7.50  0.706  2.05E+05 1.84E+05 2.09E+06 6.76E+03 1.30E+04 1.86E+04 2.21E+04 2.33E+04 2.21E+04 1.98E+04 1.71E+04 1.35E+04 1.00E+04 6.92E+03 4.54E+03 2.71E+03 1.56E+03 8.03E+02 3.83E+02 1.64E+02 6.82E+01 2.43E+01 8.05E+00 2.92E+00 4.86E-01 2.42E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   8.00  0.729  3.62E+05 3.14E+05 3.65E+06 1.09E+04 2.12E+04 3.05E+04 3.63E+04 3.88E+04 3.73E+04 3.42E+04 3.00E+04 2.38E+04 1.80E+04 1.27E+04 8.54E+03 5.24E+03 3.08E+03 1.65E+03 8.06E+02 3.62E+02 1.46E+02 5.72E+01 1.90E+01 7.32E+00 2.07E+00 3.64E-01 1.22E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   8.50  0.752  6.26E+05 5.28E+05 6.29E+06 1.77E+04 3.47E+04 4.98E+04 5.93E+04 6.36E+04 6.16E+04 5.70E+04 5.09E+04 4.14E+04 3.17E+04 2.29E+04 1.57E+04 9.97E+03 5.98E+03 3.28E+03 1.66E+03 7.75E+02 3.30E+02 1.24E+02 4.71E+01 1.32E+01 5.06E+00 1.34E+00 2.42E-01 1.22E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   9.00  0.774  1.07E+06 8.79E+05 1.07E+07 2.85E+04 5.56E+04 8.00E+04 9.60E+04 1.04E+05 1.01E+05 9.43E+04 8.46E+04 6.96E+04 5.46E+04 4.04E+04 2.82E+04 1.83E+04 1.13E+04 6.36E+03 3.32E+03 1.60E+03 7.07E+02 2.79E+02 1.00E+02 3.23E+01 1.06E+01 3.50E+00 4.86E-01 2.42E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   9.50  0.795  1.77E+06 1.41E+06 1.75E+07 4.40E+04 8.58E+04 1.24E+05 1.49E+05 1.63E+05 1.61E+05 1.52E+05 1.37E+05 1.14E+05 9.07E+04 6.84E+04 4.88E+04 3.23E+04 2.05E+04 1.19E+04 6.37E+03 3.19E+03 1.43E+03 6.08E+02 2.17E+02 8.10E+01 2.31E+01 8.31E+00 2.43E+00 5.46E-01 6.09E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  10.00  0.816  2.89E+06 2.24E+06 2.84E+07 6.72E+04 1.32E+05 1.91E+05 2.31E+05 2.52E+05 2.50E+05 2.37E+05 2.17E+05 1.84E+05 1.49E+05 1.14E+05 8.25E+04 5.61E+04 3.68E+04 2.19E+04 1.21E+04 6.25E+03 2.87E+03 1.27E+03 4.77E+02 1.76E+02 5.43E+01 1.84E+01 5.82E+00 1.15E+00 1.82E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  11.00  0.855  8.21E+06 5.31E+06 7.03E+07 1.47E+05 2.87E+05 4.17E+05 5.09E+05 5.64E+05 5.70E+05 5.52E+05 5.17E+05 4.49E+05 3.72E+05 2.92E+05 2.22E+05 1.57E+05 1.07E+05 6.77E+04 4.00E+04 2.17E+04 1.08E+04 5.15E+03 2.11E+03 8.30E+02 2.85E+02 8.93E+01 2.60E+01 6.04E+00 2.24E+00 1.82E-01 1.00E-30 1.00E-30 1.00E-30
  12.00  0.893  1.99E+07 1.17E+07 1.61E+08 2.99E+05 5.87E+05 8.56E+05 1.05E+06 1.18E+06 1.21E+06 1.19E+06 1.13E+06 9.98E+05 8.51E+05 6.92E+05 5.43E+05 3.98E+05 2.82E+05 1.88E+05 1.17E+05 6.74E+04 3.64E+04 1.84E+04 8.26E+03 3.50E+03 1.30E+03 4.29E+02 1.27E+02 3.68E+01 9.11E+00 3.15E+00 1.82E-01 1.82E-01 1.00E-30
  13.00  0.930  4.39E+07 2.40E+07 3.45E+08 5.68E+05 1.12E+06 1.63E+06 2.02E+06 2.28E+06 2.37E+06 2.36E+06 2.28E+06 2.06E+06 1.80E+06 1.50E+06 1.21E+06 9.22E+05 6.82E+05 4.72E+05 3.08E+05 1.89E+05 1.08E+05 5.87E+04 2.85E+04 1.32E+04 5.29E+03 1.94E+03 6.18E+02 1.85E+02 4.95E+01 1.10E+01 4.43E+00 2.42E-01 1.82E-01
  14.00  0.965  9.01E+07 4.62E+07 6.91E+08 1.02E+06 2.01E+06 2.94E+06 3.65E+06 4.16E+06 4.36E+06 4.40E+06 4.31E+06 3.96E+06 3.52E+06 3.00E+06 2.49E+06 1.96E+06 1.49E+06 1.08E+06 7.39E+05 4.75E+05 2.87E+05 1.67E+05 8.59E+04 4.37E+04 1.89E+04 7.62E+03 2.68E+03 8.82E+02 2.62E+02 5.78E+01 1.41E+01 4.43E+00 4.24E-01
  15.00  0.999  1.74E+08 8.43E+07 1.31E+09 1.75E+06 3.45E+06 5.05E+06 6.30E+06 7.20E+06 7.61E+06 7.75E+06 7.67E+06 7.16E+06 6.47E+06 5.63E+06 4.76E+06 3.85E+06 3.02E+06 2.27E+06 1.62E+06 1.09E+06 6.94E+05 4.24E+05 2.35E+05 1.27E+05 6.02E+04 2.63E+04 1.02E+04 3.70E+03 1.20E+03 3.08E+02 7.35E+01 1.67E+01 4.31E+00
  16.00  1.032  3.21E+08 1.47E+08 2.35E+09 2.89E+06 5.69E+06 8.32E+06 1.04E+07 1.19E+07 1.28E+07 1.31E+07 1.31E+07 1.23E+07 1.13E+07 9.94E+06 8.58E+06 7.08E+06 5.71E+06 4.40E+06 3.25E+06 2.29E+06 1.52E+06 9.87E+05 5.81E+05 3.33E+05 1.70E+05 8.02E+04 3.46E+04 1.37E+04 4.86E+03 1.41E+03 3.81E+02 8.32E+01 1.84E+01
  17.00  1.063  5.68E+08 2.47E+08 4.08E+09 4.66E+06 9.16E+06 1.34E+07 1.69E+07 1.94E+07 2.08E+07 2.14E+07 2.15E+07 2.04E+07 1.89E+07 1.69E+07 1.47E+07 1.24E+07 1.02E+07 8.03E+06 6.10E+06 4.45E+06 3.10E+06 2.09E+06 1.30E+06 7.93E+05 4.32E+05 2.21E+05 1.03E+05 4.52E+04 1.74E+04 5.69E+03 1.71E+03 4.17E+02 9.08E+01
  18.00  1.094  9.73E+08 4.04E+08 6.84E+09 7.33E+06 1.44E+07 2.12E+07 2.66E+07 3.07E+07 3.30E+07 3.41E+07 3.44E+07 3.29E+07 3.06E+07 2.76E+07 2.43E+07 2.07E+07 1.73E+07 1.39E+07 1.08E+07 8.14E+06 5.86E+06 4.11E+06 2.69E+06 1.72E+06 1.00E+06 5.49E+05 2.76E+05 1.31E+05 5.60E+04 2.02E+04 6.78E+03 1.87E+03 4.43E+02
  19.00  1.124  1.62E+09 6.49E+08 1.12E+10 1.15E+07 2.25E+07 3.31E+07 4.15E+07 4.80E+07 5.17E+07 5.36E+07 5.41E+07 5.19E+07 4.85E+07 4.41E+07 3.92E+07 3.37E+07 2.84E+07 2.32E+07 1.84E+07 1.41E+07 1.04E+07 7.56E+06 5.15E+06 3.44E+06 2.12E+06 1.24E+06 6.69E+05 3.41E+05 1.59E+05 6.36E+04 2.35E+04 7.39E+03 1.99E+03
  20.00  1.153  2.64E+09 1.02E+09 1.78E+10 1.76E+07 3.47E+07 5.08E+07 6.40E+07 7.41E+07 7.99E+07 8.31E+07 8.40E+07 8.08E+07 7.58E+07 6.91E+07 6.17E+07 5.33E+07 4.52E+07 3.73E+07 2.98E+07 2.32E+07 1.75E+07 1.30E+07 9.09E+06 6.27E+06 4.03E+06 2.48E+06 1.41E+06 7.71E+05 3.87E+05 1.69E+05 6.86E+04 2.40E+04 7.31E+03
  22.50  1.223  1.04E+10 3.09E+09 5.59E+10 5.10E+07 1.01E+08 1.47E+08 1.86E+08 2.16E+08 2.34E+08 2.44E+08 2.48E+08 2.40E+08 2.27E+08 2.08E+08 1.87E+08 1.64E+08 1.40E+08 1.17E+08 9.56E+07 7.63E+07 5.93E+07 4.56E+07 3.37E+07 2.47E+07 1.72E+07 1.16E+07 7.50E+06 4.70E+06 2.77E+06 1.47E+06 7.38E+05 3.29E+05 1.32E+05
  25.00  1.290  3.34E+10 9.22E+09 1.69E+11 1.48E+08 2.92E+08 4.30E+08 5.44E+08 6.31E+08 6.83E+08 7.15E+08 7.28E+08 7.08E+08 6.69E+08 6.17E+08 5.57E+08 4.88E+08 4.22E+08 3.56E+08 2.92E+08 2.34E+08 1.84E+08 1.44E+08 1.08E+08 8.12E+07 5.85E+07 4.14E+07 2.85E+07 1.92E+07 1.25E+07 7.50E+06 4.39E+06 2.33E+06 1.14E+06
  30.00  1.413  4.52E+11 8.38E+10 1.57E+12 1.31E+09 2.58E+09 3.82E+09 4.82E+09 5.62E+09 6.11E+09 6.40E+09 6.53E+09 6.37E+09 6.06E+09 5.60E+09 5.08E+09 4.47E+09 3.88E+09 3.29E+09 2.70E+09 2.18E+09 1.72E+09 1.35E+09 1.03E+09 7.84E+08 5.75E+08 4.17E+08 2.97E+08 2.11E+08 1.47E+08 9.75E+07 6.50E+07 4.16E+07 2.57E+07
  40.00  1.631  7.08E+13 7.04E+12 1.36E+14 1.01E+11 2.01E+11 2.96E+11 3.78E+11 4.42E+11 4.84E+11 5.14E+11 5.30E+11 5.24E+11 5.05E+11 4.73E+11 4.36E+11 3.89E+11 3.44E+11 2.95E+11 2.47E+11 2.03E+11 1.62E+11 1.29E+11 9.92E+10 7.65E+10 5.63E+10 4.11E+10 2.93E+10 2.09E+10 1.46E+10 9.72E+09 6.53E+09 4.26E+09 2.74E+09
  50.00  1.824  4.13E+15 4.05E+14 8.26E+15 5.26E+12 1.04E+13 1.55E+13 1.97E+13 2.34E+13 2.59E+13 2.77E+13 2.90E+13 2.89E+13 2.83E+13 2.70E+13 2.51E+13 2.29E+13 2.06E+13 1.81E+13 1.56E+13 1.30E+13 1.07E+13 8.79E+12 6.93E+12 5.51E+12 4.18E+12 3.14E+12 2.33E+12 1.71E+12 1.23E+12 8.53E+11 5.89E+11 3.94E+11 2.59E+11
  60.00  1.998  4.08E+17 4.04E+16 8.80E+17 4.28E+14 8.50E+14 1.26E+15 1.65E+15 2.02E+15 2.36E+15 2.67E+15 2.84E+15 2.73E+15 2.74E+15 2.75E+15 2.50E+15 2.34E+15 2.11E+15 1.89E+15 1.68E+15 1.46E+15 1.19E+15 1.05E+15 8.39E+14 6.77E+14 5.43E+14 4.01E+14 3.21E+14 2.46E+14 1.87E+14 1.35E+14 9.47E+13 6.47E+13 4.51E+13
  70.00  2.158  1.39E+19 1.35E+18 3.02E+19 1.33E+16 2.65E+16 3.92E+16 5.15E+16 6.31E+16 7.39E+16 8.39E+16 8.93E+16 8.70E+16 8.79E+16 8.87E+16 8.16E+16 7.75E+16 7.06E+16 6.41E+16 5.74E+16 5.06E+16 4.21E+16 3.75E+16 3.07E+16 2.52E+16 2.06E+16 1.57E+16 1.28E+16 1.00E+16 7.81E+15 5.78E+15 4.20E+15 2.97E+15 2.14E+15
  80.00  2.307  3.71E+20 3.58E+19 8.32E+20 3.35E+17 6.67E+17 9.91E+17 1.30E+18 1.60E+18 1.87E+18 2.13E+18 2.28E+18 2.23E+18 2.27E+18 2.31E+18 2.14E+18 2.05E+18 1.89E+18 1.73E+18 1.57E+18 1.39E+18 1.18E+18 1.06E+18 8.82E+17 7.37E+17 6.12E+17 4.75E+17 3.92E+17 3.13E+17 2.49E+17 1.89E+17 1.41E+17 1.02E+17 7.54E+16
  90.00  2.447  8.33E+21 7.96E+20 1.91E+22 7.13E+18 1.41E+19 2.10E+19 2.77E+19 3.39E+19 4.00E+19 4.54E+19 4.87E+19 4.81E+19 4.92E+19 5.01E+19 4.69E+19 4.52E+19 4.19E+19 3.89E+19 3.54E+19 3.19E+19 2.73E+19 2.47E+19 2.08E+19 1.76E+19 1.49E+19 1.17E+19 9.80E+18 7.96E+18 6.42E+18 4.95E+18 3.76E+18 2.79E+18 2.10E+18
 100.00  2.579  1.62E+23 1.53E+22 3.74E+23 1.31E+20 2.60E+20 3.86E+20 5.08E+20 6.24E+20 7.35E+20 8.37E+20 9.00E+20 8.96E+20 9.18E+20 9.39E+20 8.86E+20 8.58E+20 8.01E+20 7.47E+20 6.87E+20 6.22E+20 5.39E+20 4.92E+20 4.19E+20 3.58E+20 3.05E+20 2.44E+20 2.06E+20 1.69E+20 1.39E+20 1.09E+20 8.38E+19 6.32E+19 4.86E+19
 110.00  2.705  2.74E+24 2.58E+23 6.45E+24 2.11E+21 4.20E+21 6.26E+21 8.24E+21 1.01E+22 1.19E+22 1.36E+22 1.47E+22 1.47E+22 1.50E+22 1.55E+22 1.47E+22 1.43E+22 1.35E+22 1.26E+22 1.17E+22 1.06E+22 9.30E+21 8.54E+21 7.34E+21 6.33E+21 5.44E+21 4.40E+21 3.76E+21 3.13E+21 2.58E+21 2.05E+21 1.60E+21 1.23E+21 9.56E+20
 120.00  2.825  4.16E+25 3.89E+24 9.92E+25 3.07E+22 6.11E+22 9.09E+22 1.20E+23 1.47E+23 1.74E+23 1.99E+23 2.14E+23 2.15E+23 2.22E+23 2.29E+23 2.18E+23 2.13E+23 2.01E+23 1.90E+23 1.77E+23 1.62E+23 1.43E+23 1.31E+23 1.14E+23 9.94E+22 8.60E+22 7.03E+22 6.06E+22 5.08E+22 4.24E+22 3.41E+22 2.69E+22 2.09E+22 1.65E+22
 130.00  2.941  5.74E+26 5.32E+25 1.38E+27 4.05E+23 8.07E+23 1.20E+24 1.58E+24 1.94E+24 2.30E+24 2.63E+24 2.84E+24 2.86E+24 2.96E+24 3.06E+24 2.93E+24 2.88E+24 2.73E+24 2.59E+24 2.42E+24 2.23E+24 1.97E+24 1.83E+24 1.60E+24 1.41E+24 1.22E+24 1.01E+24 8.76E+23 7.41E+23 6.23E+23 5.05E+23 4.04E+23 3.18E+23 2.52E+23
 140.00  3.052  7.24E+27 6.66E+26 1.75E+28 4.91E+24 9.78E+24 1.45E+25 1.92E+25 2.36E+25 2.79E+25 3.19E+25 3.46E+25 3.50E+25 3.62E+25 3.75E+25 3.61E+25 3.56E+25 3.38E+25 3.22E+25 3.03E+25 2.81E+25 2.51E+25 2.33E+25 2.05E+25 1.81E+25 1.58E+25 1.32E+25 1.15E+25 9.81E+24 8.32E+24 6.80E+24 5.50E+24 4.35E+24 3.50E+24
 150.00  3.159  8.44E+28 7.71E+27 2.05E+29 5.51E+25 1.10E+26 1.64E+26 2.16E+26 2.66E+26 3.13E+26 3.58E+26 3.90E+26 3.96E+26 4.11E+26 4.26E+26 4.12E+26 4.06E+26 3.89E+26 3.71E+26 3.50E+26 3.25E+26 2.92E+26 2.73E+26 2.42E+26 2.14E+26 1.89E+26 1.58E+26 1.39E+26 1.19E+26 1.02E+26 8.39E+25 6.83E+25 5.47E+25 4.43E+25
 160.00  3.262  9.15E+29 8.31E+28 2.24E+30 5.77E+26 1.15E+27 1.71E+27 2.26E+27 2.79E+27 3.28E+27 3.76E+27 4.09E+27 4.17E+27 4.34E+27 4.50E+27 4.37E+27 4.33E+27 4.15E+27 3.98E+27 3.76E+27 3.52E+27 3.17E+27 2.98E+27 2.64E+27 2.36E+27 2.09E+27 1.77E+27 1.56E+27 1.34E+27 1.15E+27 9.58E+26 7.85E+26 6.33E+26 5.17E+26
